Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,FDU,72,BRYANT,73,L,+1.0,L,156.5,U
2017,FDU,79,STFNY,73,W,0.0,,0.0,
2017,LIU,66,FDU,83,W,0.0,,0.0,
2017,STFNY,40,FDU,57,W,0.0,,0.0,
2017,FDU,59,CCONN,47,W,0.0,,0.0,
2017,FDU,70,MTSTM,77,L,0.0,,0.0,
2017,BRYANT,84,FDU,87,W,0.0,,0.0,
2017,FDU,70,WAGNR,69,W,0.0,,0.0,
2016,FDU,88,LIU,85,W,0.0,,0.0,
2016,STFPA,82,FDU,86,W,0.0,,0.0,
2016,MTSTM,87,FDU,72,L,0.0,,0.0,
2016,LIU,95,FDU,101,W,0.0,,0.0,
2016,FDU,58,ROBMO,64,L,0.0,,0.0,
2016,FDU,71,STFPA,59,W,0.0,,0.0,
2016,CCONN,73,FDU,92,W,0.0,,0.0,
2016,FDU,80,SACRD,68,W,0.0,,0.0,
2016,BRYANT,85,FDU,80,L,0.0,,0.0,
2016,STFNY,77,FDU,86,W,0.0,,0.0,
2015,FDU,63,STFPA,68,L,0.0,,0.0,
2015,FDU,65,ROBMO,87,L,0.0,,0.0,
2015,LIU,80,FDU,76,L,0.0,,0.0,
2015,FDU,77,SACRD,78,L,0.0,,0.0,
2017,FDU,78,ARMY,97,L,0.0,,0.0,
2017,STPET,84,FDU,58,L,0.0,,0.0,
2017,FDU,90,LIPSC,72,W,0.0,,0.0,
2017,FDU,55,FORDM,68,L,0.0,,0.0,
2017,FDUFL,48,FDU,96,W,0.0,,0.0,
2017,FDU,70,SETON,91,L,0.0,,0.0,
2016,FDU,61,PRNCE,91,L,0.0,,0.0,
2016,STPET,62,FDU,77,W,0.0,,0.0,
2016,FDU,72,DELA,73,L,0.0,,0.0,
2016,FDU,62,FORDM,85,L,0.0,,0.0,
2016,ARMY,96,FDU,85,L,0.0,,0.0,
2016,FDUFL,70,FDU,111,W,0.0,,0.0,
2016,FDU,54,VILLA,91,L,0.0,,0.0,
2015,LAFAY,82,FDU,61,L,0.0,,0.0,
2015,FDU,47,COLUM,57,L,0.0,,0.0,
2015,FDU,44,RUTGR,61,L,0.0,,0.0,
2015,FDUFL,61,FDU,102,W,0.0,,0.0,
2015,FDU,58,STJOE,57,W,0.0,,0.0,
2014,FDU,73,RUTGR,72,W,-19.0,W,137.0,O
2014,FDU,62,NORFK,70,L,-13.0,W,143.0,U
2014,STPET,67,FDU,63,L,0.0,,0.0,
2014,FDU,76,METRO,87,L,0.0,,0.0,
2014,FDU,50,ARIZ,100,L,-36.5,L,146.5,O
2017,ROBMO,77,FDU,81,W,0.0,,0.0,
2017,STFPA,65,FDU,77,W,0.0,,0.0,
2017,FDU,68,CINCY,119,L,-28.5,L,140.5,O
2017,FDU,69,RUTGR,82,L,0.0,,0.0,
2017,FDU,87,TOWSN,90,L,0.0,,0.0,
2017,IONA,90,FDU,73,L,0.0,,0.0,
2017,FDU,62,OHIOS,70,L,0.0,,0.0,
2016,FDU,64,RUTGR,72,L,0.0,,0.0,
2016,TOWSN,68,FDU,69,W,0.0,,0.0,
2016,FDU,91,LAFAY,89,W,0.0,,0.0,
2016,FDU,70,TEMPL,79,L,0.0,,0.0,
2015,FDU,85,TOWSN,84,W,0.0,,0.0,
2015,FDU,60,STPET,69,L,0.0,,0.0,
2015,DELA,74,FDU,76,W,0.0,,0.0,
2015,FDU,52,STJON,74,L,-18.0,L,128.5,U
2015,FDU,57,ND,75,L,0.0,,0.0,
2015,PRNCE,85,FDU,89,W,0.0,,0.0,
2014,FDU,59,COLUM,82,L,0.0,,0.0,
2014,FDU,59,IOWA,92,L,-31.5,L,146.0,O
2014,FDU,55,PRNCE,77,L,0.0,,0.0,
2014,FDU,62,STONY,77,L,0.0,,0.0,
2014,FDU,58,SETON,54,W,-22.0,W,139.5,U
2013,FDU,79,LONGW,71,W,0.0,,0.0,
2013,FDU,67,VACOM,96,L,0.0,,0.0,
2017,FDU,64,STFPA,70,L,0.0,,0.0,
2017,FDU,76,ROBMO,77,L,0.0,,0.0,
2017,MTSTM,79,FDU,74,L,0.0,,0.0,
2017,FDU,81,SACRD,91,L,0.0,,0.0,
2017,FDU,69,LIU,75,L,0.0,,0.0,
2017,CCONN,62,FDU,79,W,-9.5,W,139.5,O
2017,WAGNR,68,FDU,59,L,-1.5,L,141.0,U
2017,SACRD,74,FDU,70,L,0.0,,0.0,
2016,FDU,81,CCONN,75,W,0.0,,0.0,
2016,FDU,67,MTSTM,54,W,0.0,,0.0,
2016,SACRD,91,FDU,86,L,0.0,,0.0,
2016,WAGNR,94,FDU,74,L,0.0,,0.0,
2016,ROBMO,72,FDU,70,L,0.0,,0.0,
2016,FDU,91,BRYANT,77,W,0.0,,0.0,
2016,FDU,71,STFNY,85,L,0.0,,0.0,
2016,FDU,82,WAGNR,79,W,0.0,,0.0,
2015,CCONN,66,FDU,73,W,0.0,,0.0,
2015,SACRD,90,FDU,85,L,0.0,,0.0,
2015,FDU,64,MTSTM,75,L,0.0,,0.0,
2015,FDU,54,STFNY,70,L,0.0,,0.0,
2015,FDU,79,WAGNR,83,L,0.0,,0.0,
2017,FDU,70,WAGNR,72,L,-3.0,W,138.0,O
2016,FLAGC,96,FDU,65,L,+5.5,L,153.5,O
2016,FDU,87,WAGNR,79,W,-9.0,W,141.0,O
2016,MTSTM,75,FDU,80,W,-1.5,W,145.0,O
2016,STFPA,72,FDU,74,W,-5.5,L,153.0,U
2014,FDU,53,ROBMO,60,L,-11.0,W,142.0,U
2014,FDU,56,STFNY,79,L,0.0,,0.0,
2013,MTSTM,103,FDU,82,L,0.0,,0.0,
2010,FDU,61,LIU,63,L,-8.5,W,140.0,U
2008,STFPA,70,FDU,72,W,0.0,,0.0,
2007,FDU,77,QUINN,78,L,0.0,,0.0,
2006,FDU,77,MANHT,80,L,-6.5,W,149.0,O
2006,MONMO,49,FDU,48,L,0.0,,0.0,
2006,ROBMO,55,FDU,71,W,0.0,,0.0,
2006,QUINN,65,FDU,66,W,0.0,,0.0,
2005,FDU,55,ILL,67,L,-26.0,W,142.0,U
2005,WAGNR,52,FDU,58,W,0.0,,0.0,
2005,LIU,62,FDU,70,W,0.0,,0.0,
2005,STFNY,60,FDU,78,W,0.0,,0.0,
2004,CCONN,76,FDU,73,L,0.0,,0.0,
2004,WAGNR,67,FDU,69,W,0.0,,0.0,
2004,FDU,57,STFNY,63,L,0.0,,0.0,
2003,FDU,62,STFNY,88,L,0.0,,0.0,
2003,FDU,63,MONMO,51,W,0.0,,0.0,
2003,FDU,59,MONMO,68,L,0.0,,0.0,
2003,STFPA,73,FDU,75,W,0.0,,0.0,
2001,FDU,59,MONMO,71,L,0.0,,0.0,
2000,MTSTM,73,FDU,68,L,0.0,,0.0,
1998,FDU,85,UCONN,93,L,-15.0,W,153.0,O
