Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-1.0,107.0,101.7,107.7,104.5,1
-15.0,107.0,101.7,90.0,105.1,1
-13.0,107.0,101.7,97.6,113.8,1
+3.5,107.0,101.7,108.0,96.9,1
-1.5,107.0,101.7,109.9,108.4,0
-10.0,107.0,101.7,106.6,102.3,0
-2.5,107.0,101.7,107.8,107.5,1
-5.0,107.0,101.7,109.6,108.2,1
-3.0,105.0,106.0,107.7,106.8,1
-7.5,105.0,106.0,101.5,104.4,1
-6.0,105.0,106.0,97.0,111.2,1
-4.0,105.0,106.0,106.3,108.5,1
-8.0,105.0,106.0,103.1,117.6,0
-5.5,105.0,106.0,105.8,107.5,0
-4.0,105.0,106.0,103.0,108.2,1
+5.0,105.0,106.0,107.5,101.0,1
-2.0,105.0,106.0,102.2,107.5,0
-6.5,105.0,106.0,97.0,111.2,1
-3.5,98.3,111.5,102.0,112.6,0
+4.0,98.3,111.5,103.2,107.5,1
-12.5,98.3,111.5,105.2,98.5,0
-14.0,107.0,101.7,108.7,96.3,0
-14.5,107.0,101.7,103.9,106.4,1
-18.0,105.0,106.0,111.9,93.2,0
-3.0,105.0,106.0,105.8,108.7,0
-3.5,105.0,106.0,102.7,110.9,1
-41.0,98.3,111.5,124.5,92.0,0
+4.0,98.3,111.5,112.3,106.2,0
-2.5,98.3,111.5,98.3,107.9,1
+6.5,98.3,111.5,96.1,105.5,0
-15.5,94.9,115.6,100.1,100.8,0
-10.5,94.9,115.6,98.1,100.9,0
-15.0,107.0,101.7,105.5,116.5,1
-17.0,107.0,101.7,122.3,99.2,0
-2.0,107.0,101.7,98.9,107.0,1
-18.0,105.0,106.0,106.6,94.0,0
-27.5,98.3,111.5,112.7,99.7,0
-22.5,98.3,111.5,108.8,96.6,0
-3.5,98.3,111.5,102.0,112.6,1
-9.5,94.9,115.6,101.3,116.4,1
-23.0,94.9,115.6,111.7,99.7,0
-6.0,107.0,101.7,109.9,108.4,1
-7.0,107.0,101.7,108.0,96.9,0
-6.0,107.0,101.7,107.7,104.5,0
-11.0,107.0,101.7,90.0,105.1,1
-8.0,107.0,101.7,97.6,113.8,1
-7.5,107.0,101.7,107.8,107.5,1
+2.0,107.0,101.7,106.6,102.3,1
-10.0,107.0,101.7,105.5,116.5,1
-2.5,107.0,101.7,109.6,108.2,1
-3.5,105.0,106.0,107.7,106.8,0
-2.5,105.0,106.0,106.3,108.5,0
-2.5,105.0,106.0,105.8,107.5,1
-12.0,105.0,106.0,103.1,117.6,1
-5.5,105.0,106.0,102.2,107.5,1
-11.0,105.0,106.0,107.5,101.0,0
-1.0,105.0,106.0,103.0,108.2,1
+10.5,98.3,111.5,105.2,98.5,0
+4.0,98.3,111.5,101.9,107.5,1
-5.5,98.3,111.5,99.8,109.5,0
-5.5,98.3,111.5,103.2,121.8,0
-3.0,107.0,101.7,102.5,95.9,0
-6.0,107.0,101.7,100.4,110.4,1
-6.0,107.0,101.7,104.2,111.1,1
-5.0,107.0,101.7,107.8,107.5,0
+2.0,105.0,106.0,NaN,NaN,0
+1.5,105.0,106.0,NaN,NaN,1
-1.5,105.0,106.0,107.7,106.8,0
-1.0,105.0,106.0,102.2,107.5,1
-11.0,98.3,111.5,105.2,98.5,0
-9.5,98.3,111.5,104.5,106.0,1
-10.0,98.3,111.5,105.6,105.5,1
-2.0,98.3,111.5,103.2,121.8,1
-5.0,94.9,115.6,98.3,110.4,0
-6.0,91.7,115.0,99.4,108.3,0
-7.0,91.7,115.0,97.9,110.3,1
+12.0,91.7,115.0,102.7,101.6,0
-12.5,98.1,105.0,112.0,101.4,0
-2.5,98.1,105.0,102.1,112.6,1
-5.0,105.3,102.9,104.1,98.9,0
-7.0,105.3,102.9,114.5,103.5,0
-2.5,105.3,102.9,99.1,108.5,1
-9.0,105.3,102.9,96.4,110.9,1
-1.5,98.0,104.8,96.2,104.8,0
-7.0,91.3,110.5,101.4,108.8,0
-11.5,91.3,110.5,106.3,111.4,0
-4.5,95.3,108.6,98.0,100.6,0
-12.0,95.3,108.6,106.7,106.9,0
-9.5,103.8,107.4,111.8,98.5,0
